Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Brookline College-Tempe,AZ,Test Optional,,Unannounced,https://www.brooklinecollege.edu/admissions/requirements/,,Private for-profit
Brookline College-Tucson,AZ,Test Optional,,Unannounced,https://www.brooklinecollege.edu/admissions/requirements/,,Private for-profit
Broward College,FL,Test Optional,6,Unannounced,,,Public
Bryan College of Health Sciences,NE,Test Optional,,Unannounced,,,Private not-for-profit
Bryan College-Dayton,TN,Test Optional,3,Unannounced,,,Private not-for-profit
Bryan University,AZ,Test Optional,,Unannounced,,,Private for-profit
Bryan University,MO,Test Optional,,Unannounced,,,Private for-profit
Bryant & Stratton College-Albany,NY,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Buffalo,NY,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Greece,NY,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Parma,OH,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Syracuse North,NY,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Virginia Beach,VA,Test Optional,,Unannounced,,,Private not-for-profit
Bryant & Stratton College-Wauwatosa,WI,Test Optional,,Unannounced,,,Private not-for-profit
Bryant University,RI,Test Optional,,No,https://www.bryant.edu/undergraduate/undergraduate-admission/applying-bryant/test-requirements-test-optional-policy,79%,Private not-for-profit
Bryn Athyn College of the New Church,PA,Test Optional,,No,https://brynathyn.edu/admissions/applying-to-bryn-athyn/index.html,61%,Private not-for-profit
Bryn Mawr College,PA,Test Optional,,No,,46%,Private not-for-profit
Bucknell University,PA,Test Optional,,Yes,https://www.bucknell.edu/admissions-aid/apply-bucknell/undergraduate-admission-requirements,50%,Private not-for-profit
Buena Vista University,IA,Test Optional,,Unannounced,,40%,Private not-for-profit
Bushnell University,OR,Test Optional,,Unannounced,https://www.bushnell.edu/admissions/apply/,97%,Private not-for-profit
Butler University,IN,Test Optional,,Unannounced,,23%,Private not-for-profit
Cairn University-Langhorne,PA,Test Optional,,Unannounced,https://cairn.edu/admissions-requirements/,100%,Private not-for-profit
Caldwell University,NJ,Test Optional,,No,"https://www.caldwell.edu/admissions/requirements/#:~:text=Applicants%20have%20the%20option%20to,not%20submit%20these%20test%20scores.",76%,Private not-for-profit
California Aeronautical University,CA,Test Optional,6,Unannounced,https://calaero.edu/admissions-financial-aid/admissions-requirements/,,Private for-profit
California Baptist University,CA,Test Free,,Yes,https://calbaptist.edu/admissions/undergraduate/applying-cbu/application-requirements,,Private not-for-profit
California Christian College,CA,Test Optional,,Unannounced,,100%,Private not-for-profit
California College of the Arts,CA,Test Optional,,Unannounced,,,Private not-for-profit
California Institute of Arts & Technology,CA,Test Optional,6,Unannounced,https://www.ciat.edu/admissions/,,Private for-profit
California Institute of Arts & Technology-National City,CA,Test Optional,"6,1",Unannounced,https://www.ciat.edu/admissions/new-students/,,Private for-profit
California Institute of the Arts,CA,Test Optional,,Unannounced,,,Private not-for-profit
California Intercontinental University,--,Test Optional,,Unannounced,,,Private not-for-profit
California Jazz Conservatory,CA,Test Optional,6,No,https://cjc.edu/degree-programs/admissions/admission-requirements/,,Private not-for-profit
California Lutheran University,CA,Test Optional,,Unannounced,https://www.callutheran.edu/news/story.html?id=13975#story,82%,Private not-for-profit
California Miramar University,CA,Test Optional,,Unannounced,,,Private for-profit
California Northstate University,CA,Test Optional,,Unannounced,https://californianorthstateuniversity.formstack.com/forms/college_of_health_sciences_admissions_application_2024_2025,100%,Private for-profit
California Polytechnic State University-San Luis Obispo,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State Polytechnic University-Humboldt,CA,Test Free,3,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State Polytechnic University-Pomona,CA,Test Free,3,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Bakersfield,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Channel Islands,CA,Test Free,,No,,,Public
California State University-Chico,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Dominguez Hills,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-East Bay,CA,Test Free,3,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Fresno,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Fullerton,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Long Beach,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Los Angeles,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Monterey Bay,CA,Test Free,,No,,,Public
California State University-Northridge,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-Sacramento,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-San Bernardino,CA,Test Free,,No,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California State University-San Marcos,CA,Test Free,,No,,,Public
California State University-Stanislaus,CA,Test Free,,Unannounced,https://www.calstate.edu/apply/freshman/getting_into_the_csu/pages/testing-requirements.aspx,,Public
California University of Management and Sciences,CA,Test Optional,,Unannounced,,,
California University of Pennsylvania,PA,Test Optional,,Unannounced,https://www.calu.edu/admissions/undergraduate/requirements.aspx,,Public
Calumet College of Saint Joseph,IN,Test Optional,1,Unannounced,,,Private not-for-profit
Calvin University,MI,Test Optional,,No,https://calvin.edu/admissions/apply/test-optional.html,19%,Private not-for-profit
Cameron University,OK,Test Optional,,Unannounced,,,Public
Campbell University,NC,Test Optional,,Yes,https://www.campbell.edu/admissions/undergraduate/high-school-student/,,Private not-for-profit
Campbellsville University,KY,Test Optional,1,Unannounced,https://catalog.campbellsville.edu/content.php?catoid=2&navoid=15#admissions-application-requirements,,Private not-for-profit
Canisius College,NY,Test Free,,Unannounced,https://www.canisius.edu/admissions/undergraduate-admissions/test-free-canisius,65%,Private not-for-profit
Capella University,MN,Test Optional,,Unannounced,,,
Capital University,OH,Test Optional,,Unannounced,https://www.capital.edu/admission/first-year-students/first-year-application/,20%,Private not-for-profit
Capitol Technology University,MD,Test Optional,,Unannounced,https://www.captechu.edu/admissions/undergraduate,100%,Private not-for-profit
Career Networks Institute,CA,Test Optional,6,Unannounced,https://cnicollege.edu/programs/bsn-nursing/,,Private for-profit
Caribbean University-Bayamon,PR,Test Optional,4,Unannounced,https://www.caribbean.edu/Politicas/ADMISSIONS%20POLICY%20&%20REQUIRED%20DOCUMENTS.pdf,,Private not-for-profit
Caribbean University-Carolina,PR,Test Optional,4,Unannounced,https://www.caribbean.edu/Politicas/ADMISSIONS%20POLICY%20&%20REQUIRED%20DOCUMENTS.pdf,,Private not-for-profit
Caribbean University-Ponce,PR,Test Optional,4,Unannounced,https://www.caribbean.edu/Politicas/ADMISSIONS%20POLICY%20&%20REQUIRED%20DOCUMENTS.pdf,,Private not-for-profit
Caribbean University-Vega Baja,PR,Test Optional,4,Unannounced,https://www.caribbean.edu/Politicas/ADMISSIONS%20POLICY%20&%20REQUIRED%20DOCUMENTS.pdf,,Private not-for-profit
Carleton College,MN,Test Optional,,No,https://www.carleton.edu/admissions/apply/steps/criteria/,35%,Private not-for-profit
Carlow University,PA,Test Optional,4,Unannounced,https://www.carlow.edu/admissions-aid/admissions/apply/traditional-undergraduate,96%,Private not-for-profit
Carnegie Mellon University,PA,Test Optional,,Yes,https://www.cmu.edu/admission/standardized-testing,29%,Private not-for-profit
Carolina Christian College,NC,Test Optional,,Unannounced,,,Private not-for-profit
Carolina University,NC,Test Optional,,Unannounced,,,Private not-for-profit
Carolinas College of Health Sciences,NC,Test Optional,,Unannounced,https://atriumhealth.org/education/carolinas-college-of-health-sciences/admissions,0%,Public
Carroll College,MT,Test Optional,3,No,https://www.carroll.edu/admission-aid/apply,96%,Private not-for-profit
Carroll University,WI,Test Optional,,No,https://www.carrollu.edu/admissions/freshmen/how-to-apply,72%,Private not-for-profit
