UNITID,INSTNM,CITY,STABBR,ZIP,HIGHDEG,ST_FIPS,LATITUDE,LONGITUDE,LOCALE,ADM_RATE,SAT_AVG,C150_4,UGDS_MEN,UGDS_WOMEN,Avg_Net_Price,COSTT4_A,SAT_z
214634,Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,3,42,41.235131,-80.50924,31,0.9091,1170,0.2295,0.3793,0.6207,14259,26545,-0.006106159560792735
214643,Pennsylvania State University-Penn State Wilkes-Barre,Dallas,PA,18627-0217,3,42,41.305602,-76.016151,41,0.9453,1145,0.1667,0.6331,0.3669,15775,24604,-0.18065474461532927
214652,Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,3,42,41.439843,-75.621401,21,0.9487,1190,0.3189,0.5542,0.4458,18934,27126,0.1335327084828365
214670,Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,3,42,40.559201,-75.40267,21,0.9421,1212,0.1736,0.5931,0.4069,19324,26918,0.2871354633308286
214689,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,3,42,40.541759,-78.409601,13,0.9731,1163,0.1784,0.539,0.461,24704,31725,-0.054979763376062966
214698,Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,3,42,40.678271,-80.296316,21,0.922,1191,0.212,0.5662,0.4338,18657,27587,0.14051465188501794
214704,Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,3,42,40.358839,-75.97329,21,0.9713,1219,0.2441,0.5835,0.4165,24581,31853,0.33600906714609885
214713,Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,4,42,40.204253,-76.741216,21,0.9639,1218,0.2926,0.6208,0.3792,23478,32029,0.3290271237439174
214731,Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,3,42,39.927123,-75.449704,21,0.9533,1211,0.2133,0.6281,0.3719,22518,30201,0.2801535199286472
214740,Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,3,42,41.127184,-78.751554,33,0.9252,1130,0.2901,0.5854,0.4146,18192,28775,-0.28538389564805117
214759,Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,3,42,39.946455,-79.659317,41,0.9166,1160,0.3352,0.4843,0.5157,19450,26727,-0.07592559358260735
214768,Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,3,42,40.98396,-76.030975,23,0.9104,1200,0.1791,0.5689,0.4311,20062,29977,0.2033521425046511
214777,Pennsylvania State University-Main Campus,University Park,PA,16802-1503,4,42,40.7965,-77.862848,13,0.5422,1316,0.8568,0.5275,0.4725,32598,39160,1.0132575771577006
214786,Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,3,42,40.345591,-79.827428,21,0.9466,1125,0.2743,0.6139,0.3861,14721,26295,-0.3202936126589585
214795,Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,3,42,39.842212,-77.541797,41,0.903,1170,0.2512,0.4004,0.5996,19993,28851,-0.006106159560792735
214801,Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,3,42,40.117101,-75.110724,21,0.9203,1179,0.2222,0.5943,0.4057,17818,27516,0.056731331058840415
214810,Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,3,42,40.640512,-76.166374,31,0.9105,1060,0.2069,0.3679,0.6321,21228,29057,-0.7741199338007535
214829,Pennsylvania State University-Penn State York,York,PA,17403-3326,4,42,39.95283,-76.703486,22,0.922,1170,0.1143,0.6317,0.3683,18922,26812,-0.006106159560792735
215062,University of Pennsylvania,Philadelphia,PA,19104-6303,4,42,39.950929,-75.19391,11,0.0587,1545,0.9681,0.4468,0.5532,31229,85738,2.6121226162572553
215114,Cairn University-Langhorne,Langhorne,PA,19047-2990,4,42,40.165809,-74.909509,21,0.8356,1154,0.6516,0.4987,0.5013,29577,45473,-0.11781725399569612
215266,University of Pittsburgh-Bradford,Bradford,PA,16701,3,42,41.943415,-78.673701,33,0.9081,1168,0.4344,0.4602,0.5398,16630,29488,-0.020070046365155657
215275,University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,3,42,40.276447,-79.532676,21,0.9792,1172,0.3963,0.4327,0.5673,17034,28514,0.007857727243570187
215284,University of Pittsburgh-Johnstown,Johnstown,PA,15904,3,42,40.265957,-78.834163,23,0.959,1158,0.5345,0.5579,0.4421,18952,28501,-0.08988948038697027
215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,4,42,40.444387999999996,-79.953254,11,0.497,1371,0.8434,0.4211,0.5789,30074,36707,1.397264464277681
215442,Point Park University,Pittsburgh,PA,15222-1984,4,42,40.438768,-80.002061,11,0.9788,1142,0.5956,0.356,0.644,24791,50133,-0.20160057482187366
215743,Saint Francis University,Loretto,PA,15940,4,42,40.506734,-78.63904,42,0.7689,1151,0.7275,0.381,0.619,19173,57515,-0.1387630842022405
215770,Saint Joseph's University - Philadelphia,Philadelphia,PA,19131-1395,4,42,39.994442,-75.238343,11,0.8639,1256,0.7983,0.4612,0.5388,35487,65513,0.594340973026813
215798,Saint Vincent College,Latrobe,PA,15650-2690,4,42,40.29265,-79.403762,21,0.591,1120,0.7215,0.6036,0.3964,23331,55082,-0.3552033296698658
215929,University of Scranton,Scranton,PA,18510-4699,4,42,41.406556,-75.656915,13,0.8435,1237,0.808,0.4338,0.5662,30528,67795,0.4616840483853652
